venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,precip_mm,pressure_hPa
Reliance Stadium,2005-11-12,10:00,11:30,male,Sri Lanka,India,21-30,35,17.4891696,78.3236847,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,12:15,male,Sri Lanka,India,31-40,61,17.4891696,78.3236847,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,13:00,male,Sri Lanka,India,41-50,80,17.4891696,78.3236847,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,10:00,male,India,Sri Lanka,1-10,82,17.4891696,78.3236847,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,10:45,male,India,Sri Lanka,11-20,50,17.4891696,78.3236847,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,11:30,male,India,Sri Lanka,21-30,61,17.4891696,78.3236847,NA,NA,NA,NA,NA
Reliance Stadium,2005-11-12,10:00,12:15,male,India,Sri Lanka,31-40,52,17.4891696,78.3236847,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,10:00,male,Australia,South Africa,1-10,48,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,10:45,male,Australia,South Africa,11-20,50,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,11:30,male,Australia,South Africa,21-30,55,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,12:15,male,Australia,South Africa,31-40,45,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,13:00,male,Australia,South Africa,41-50,90,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,10:00,male,South Africa,Australia,1-10,50,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,10:45,male,South Africa,Australia,11-20,64,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,11:30,male,South Africa,Australia,21-30,60,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,12:15,male,South Africa,Australia,31-40,45,17.2984395,-62.7220774,NA,NA,NA,NA,NA
"Warner Park, Basseterre",2016-06-11,10:00,13:00,male,South Africa,Australia,41-50,33,17.2984395,-62.7220774,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,10:00,male,Pakistan,South Africa,1-10,32,24.4161287,54.45363,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,10:45,male,Pakistan,South Africa,11-20,52,24.4161287,54.45363,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,11:30,male,Pakistan,South Africa,21-30,56,24.4161287,54.45363,NA,NA,NA,NA,NA
