venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs
"Seddon Park, Hamilton",2025-04-02,10:00,10:45,male,New Zealand,Pakistan,11-20,35
"Seddon Park, Hamilton",2025-04-02,10:00,11:30,male,New Zealand,Pakistan,21-30,38
"Seddon Park, Hamilton",2025-04-02,10:00,12:15,male,New Zealand,Pakistan,31-40,65
"Seddon Park, Hamilton",2025-04-02,10:00,13:00,male,New Zealand,Pakistan,41-50,82
"Seddon Park, Hamilton",2025-04-02,10:00,10:00,male,Pakistan,New Zealand,1-10,28
"Seddon Park, Hamilton",2025-04-02,10:00,10:45,male,Pakistan,New Zealand,11-20,35
"Seddon Park, Hamilton",2025-04-02,10:00,11:30,male,Pakistan,New Zealand,21-30,58
"Seddon Park, Hamilton",2025-04-02,10:00,12:15,male,Pakistan,New Zealand,31-40,81
"Seddon Park, Hamilton",2025-04-02,10:00,13:00,male,Pakistan,New Zealand,41-50,6
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:00,male,Kenya,New Zealand,1-10,33
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:45,male,Kenya,New Zealand,11-20,26
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,11:30,male,Kenya,New Zealand,21-30,10
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:00,male,New Zealand,Kenya,1-10,72
Adelaide Oval,2005-01-26,10:00,10:00,male,Australia,West Indies,1-10,43
Adelaide Oval,2005-01-26,10:00,10:45,male,Australia,West Indies,11-20,60
Adelaide Oval,2005-01-26,10:00,11:30,male,Australia,West Indies,21-30,58
Adelaide Oval,2005-01-26,10:00,12:15,male,Australia,West Indies,31-40,41
Adelaide Oval,2005-01-26,10:00,13:00,male,Australia,West Indies,41-50,67
Adelaide Oval,2005-01-26,10:00,10:00,male,West Indies,Australia,1-10,27
Adelaide Oval,2005-01-26,10:00,10:45,male,West Indies,Australia,11-20,33
Adelaide Oval,2005-01-26,10:00,11:30,male,West Indies,Australia,21-30,56
Adelaide Oval,2005-01-26,10:00,12:15,male,West Indies,Australia,31-40,62
Adelaide Oval,2005-01-26,10:00,13:00,male,West Indies,Australia,41-50,18
Western Australia Cricket Association Ground,2014-11-14,13:00,13:00,male,Australia,South Africa,1-10,60
Western Australia Cricket Association Ground,2014-11-14,13:00,13:45,male,Australia,South Africa,11-20,49
Western Australia Cricket Association Ground,2014-11-14,13:00,14:30,male,Australia,South Africa,21-30,36
Western Australia Cricket Association Ground,2014-11-14,13:00,15:15,male,Australia,South Africa,31-40,51
Western Australia Cricket Association Ground,2014-11-14,13:00,16:00,male,Australia,South Africa,41-50,104
Western Australia Cricket Association Ground,2014-11-14,13:00,13:00,male,South Africa,Australia,1-10,45
