venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,AQI
Adelaide Oval,2005-01-26,10:00,10:00,male,West Indies,Australia,1-10,27,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,10:45,male,West Indies,Australia,11-20,33,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,11:30,male,West Indies,Australia,21-30,56,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,12:15,male,West Indies,Australia,31-40,62,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
Adelaide Oval,2005-01-26,10:00,13:00,male,West Indies,Australia,41-50,18,-34.9155596,138.5962772,28.4,46.0,14.8,35.0
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:00,male,India,West Indies,1-10,53,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:45,male,India,West Indies,11-20,44,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,11:30,male,India,West Indies,21-30,63,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,12:15,male,India,West Indies,31-40,52,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,13:00,male,India,West Indies,41-50,56,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:00,male,West Indies,India,1-10,46,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:45,male,West Indies,India,11-20,61,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,11:30,male,West Indies,India,21-30,47,13.0627521,80.2784304,32.0,50.0,14.8,
